player,team,appearances,minutesPlayed,rating,rating_promedio_equipo,rating_relativo,diferencia
Francisco González,O'Higgins,15,1150,7.44,6.854,1.086,0.586
Kevin Méndez,Unión La Calera,14,1208,7.35,6.785,1.083,0.565
Arturo Vidal,Colo-Colo,14,1123,7.51,6.984,1.075,0.526
Fernando Zampedri,Universidad Católica,14,1147,7.56,7.034,1.075,0.526
Jorge Henríquez,Deportes Concepción,12,773,7.2,6.711,1.073,0.489
Juan Cornejo,Coquimbo Unido,11,958,7.45,6.959,1.071,0.491
Jean Meneses,Deportes Limache,15,1323,7.41,6.948,1.067,0.462
Matías Zaldivia,Universidad de Chile,10,900,7.44,6.992,1.064,0.448
Gabriel Castellón,Universidad de Chile,15,1350,7.44,6.992,1.064,0.448
Jeisson Vargas,Deportes La Serena,15,1287,7.19,6.804,1.057,0.386
Nicolás Vargas,Huachipato,14,1221,7.19,6.805,1.057,0.385
Matías Palavecino,Universidad Católica,14,923,7.42,7.034,1.055,0.386
Alejandro Santander,Cobresal,9,810,7.16,6.805,1.052,0.355
Bryan Carvallo,Cobresal,15,1127,7.15,6.805,1.051,0.345
Víctor Felipe Méndez,Colo-Colo,15,1305,7.33,6.984,1.05,0.346
Enzo Ferrario,Audax Italiano,12,1065,7.15,6.815,1.049,0.335
Lorenzo Reyes,Ñublense,14,1260,7.18,6.848,1.048,0.332
Daniel Castro,Deportes Limache,15,1314,7.27,6.948,1.046,0.322
Alan Medina,Everton de Viña del Mar,15,1313,7.23,6.922,1.044,0.308
Joaquín Moya,Everton de Viña del Mar,14,1202,7.21,6.922,1.042,0.288
Santiago Silva Azambuja,Universidad de Concepción,8,720,7.0,6.752,1.037,0.248
Juan Manuel Requena,Unión La Calera,12,1059,7.03,6.785,1.036,0.245
Felipe Ogaz,O'Higgins,14,1215,7.09,6.854,1.034,0.236
Cristhofer Mesías,Universidad de Concepción,13,897,6.98,6.752,1.034,0.228
Gonzalo Escalante,Deportes La Serena,12,1078,7.03,6.804,1.033,0.226
Sebastián Sáez,Unión La Calera,15,1322,7.01,6.785,1.033,0.225
Lucas Alarcón,Deportes La Serena,10,837,6.99,6.804,1.027,0.186
