goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,rating,player,team,id,team_id
3,0,0,12,46.15,0,0.0,4,40.0,4,0,80.39,12,46.15,259,4,4,3,3,0,0,0,2,0,0,0,0,0,18,2,41,5,6,31.58,2,40.0,2,5,1,2,8,6,1,37.5,0,1,,0,0,0,8.3,Maximiliano Gutiérrez,Huachipato,1385794,3164
1,1,0,10,90.91,6,75.0,0,0.0,6,0,88.8,16,84.21,283,4,0,1,4,0,0,0,1,1,0,0,0,0,19,0,230,0,0,0.0,16,61.54,5,22,0,0,4,2,1,25.0,0,0,,0,0,0,7.78,Bianneider Tamayo,Universidad de Chile,1475072,3161
0,0,0,0,0.0,0,0.0,0,0.0,0,0,57.69,0,0.0,56,0,0,0,1,3,3,0,0,0,0,1,0,1,3,0,15,0,0,0.0,6,35.29,0,1,0,0,0,0,0,0.0,0,0,,0,0,0,7.7,Eryin Sanhueza,Deportes La Serena,924505,5031
15,5,0,23,43.4,16,42.11,7,53.85,2,2,68.79,39,42.86,1147,14,17,8,14,0,0,0,13,4,0,0,0,0,32,3,119,6,1,16.67,6,75.0,1,9,2,6,41,22,4,36.59,0,14,,0,0,0,7.56,Fernando Zampedri,Universidad Católica,828952,3151
1,6,0,53,58.89,41,71.93,6,75.0,38,1,88.45,94,63.95,1123,9,17,4,14,0,0,0,10,0,0,0,0,0,136,0,827,9,0,0.0,103,67.76,30,45,15,1,18,2,2,5.56,0,0,,0,0,0,7.51,Arturo Vidal,Colo-Colo,18342,3155
0,0,1,21,56.76,24,72.73,1,25.0,13,7,71.46,45,64.29,958,7,5,4,11,0,0,0,13,0,0,0,0,0,96,8,323,29,39,34.21,45,40.91,17,35,5,0,6,2,3,0.0,2,1,,0,0,0,7.45,Juan Cornejo,Coquimbo Unido,1096735,3165
5,1,0,54,52.94,16,53.33,19,43.18,8,4,82.25,70,53.03,1150,27,8,10,15,0,0,0,14,1,0,0,0,0,144,5,315,33,41,32.8,15,60.0,3,6,7,4,36,13,10,13.89,2,4,,0,0,0,7.44,Francisco González,O'Higgins,983528,3163
1,3,0,22,64.71,39,68.42,2,66.67,13,0,78.77,61,67.03,900,7,7,0,10,0,0,0,4,2,0,0,0,0,74,0,449,5,1,50.0,54,50.0,15,56,5,1,9,3,1,11.11,0,1,,0,1,0,7.44,Matías Zaldivia,Universidad de Chile,789979,3161
0,4,0,6,75.0,3,100.0,0,0.0,0,0,80.0,9,81.82,1350,6,0,1,15,54,37,16,7,3,5,6,8,6,16,0,312,0,0,0.0,75,49.02,0,20,1,0,0,0,0,0.0,0,0,,1,0,0,7.44,Gabriel Castellón,Universidad de Chile,805183,3161
2,2,0,40,50.0,9,81.82,18,66.67,9,5,81.58,49,53.85,923,13,10,15,14,0,0,0,12,4,0,0,0,0,160,9,381,26,22,37.93,21,42.86,4,2,7,0,26,8,7,7.69,1,0,,0,1,0,7.42,Matías Palavecino,Universidad Católica,973560,3151
